market_id,name,opens_at,closes_at,expiry,outcome
1,Will it rain in NYC tomorrow?,2025-11-23T13:56:03.590911,2025-11-25T12:56:03.590911,2025-11-25,
2,Will CPI exceed expectations?,2025-11-25T13:56:03.590929,2025-11-27T12:56:03.590929,2025-11-27,
3,Will unemployment fall next month?,2025-11-22T13:56:03.590933,2025-11-24T12:56:03.590933,2025-11-24,
4,Will Bitcoin exceed 60k?,2025-11-26T13:56:03.590937,2025-11-28T12:56:03.590937,2025-11-28,
5,Will the S&P 500 close higher?,2025-11-23T13:56:03.590940,2025-11-25T12:56:03.590940,2025-11-25,
6,Will home sales increase?,2025-11-24T13:56:03.590943,2025-11-26T12:56:03.590943,2025-11-26,
7,Will initial jobless claims drop?,2025-11-26T13:56:03.590946,2025-11-28T12:56:03.590946,2025-11-28,
8,"Will gold close above $2,500?",2025-11-26T13:56:03.590949,2025-11-28T12:56:03.590949,2025-11-28,
9,Will ETH outperform BTC?,2025-11-27T13:56:03.590952,2025-11-29T12:56:03.590952,2025-11-29,
10,Will GDP beat forecasts?,2025-11-22T13:56:03.590955,2025-11-24T12:56:03.590955,2025-11-24,
