trade_id,user_id,market_id,contract_type,price,quantity,timestamp
1,103,8,NO,0.23,4,2025-11-18T07:18:03.593593
2,123,4,NO,0.5,3,2025-11-17T01:54:03.593593
3,139,3,NO,0.2,4,2025-11-17T05:43:03.593593
4,131,9,NO,0.73,17,2025-11-16T14:04:03.593593
5,162,5,YES,0.51,12,2025-11-16T17:53:03.593593
6,256,4,YES,0.14,24,2025-11-17T01:26:03.593593
7,277,5,YES,0.08,19,2025-11-17T14:57:03.593593
8,39,6,YES,0.56,3,2025-11-18T18:51:03.593593
9,220,6,YES,0.57,13,2025-11-18T02:13:03.593593
10,58,3,NO,0.46,25,2025-11-16T20:45:03.593593
11,129,3,NO,0.43,4,2025-11-19T07:00:03.593593
12,158,3,YES,0.37,7,2025-11-18T05:37:03.593593
13,267,6,NO,0.11,23,2025-11-18T22:16:03.593593
14,92,10,NO,0.58,11,2025-11-19T01:21:03.593593
15,128,7,NO,0.11,3,2025-11-19T06:09:03.593593
16,193,3,YES,0.86,2,2025-11-19T08:45:03.593593
17,6,7,NO,0.81,14,2025-11-19T08:41:03.593593
18,49,7,YES,0.53,4,2025-11-17T22:40:03.593593
19,276,1,NO,0.88,22,2025-11-18T11:21:03.593593
20,34,6,NO,0.72,10,2025-11-19T02:04:03.593593
21,196,8,YES,0.55,8,2025-11-19T11:06:03.593593
22,81,7,YES,0.85,25,2025-11-17T15:37:03.593593
23,16,5,NO,0.62,8,2025-11-16T20:31:03.593593
24,282,9,NO,0.61,6,2025-11-17T06:55:03.593593
25,150,3,NO,0.05,3,2025-11-17T06:27:03.593593
26,237,6,YES,0.38,14,2025-11-18T03:15:03.593593
27,154,4,NO,0.34,7,2025-11-18T03:36:03.593593
28,177,6,NO,0.43,6,2025-11-18T05:03:03.593593
29,204,2,NO,0.77,10,2025-11-16T21:36:03.593593
30,55,9,YES,0.77,10,2025-11-16T19:58:03.593593
31,221,7,NO,0.92,7,2025-11-18T04:58:03.593593
32,202,5,NO,0.94,20,2025-11-17T22:25:03.593593
33,164,1,YES,0.95,12,2025-11-17T14:31:03.593593
34,47,10,YES,0.88,15,2025-11-17T01:26:03.593593
35,223,6,NO,0.38,16,2025-11-19T04:21:03.593593
36,273,1,NO,0.74,4,2025-11-16T19:58:03.593593
37,258,6,YES,0.3,24,2025-11-17T01:46:03.593593
38,180,9,NO,0.11,3,2025-11-17T04:32:03.593593
39,225,2,NO,0.93,16,2025-11-16T18:47:03.593593
40,26,6,YES,0.65,12,2025-11-18T02:28:03.593593
41,152,2,NO,0.9,2,2025-11-19T12:02:03.593593
42,292,3,NO,0.42,3,2025-11-18T23:20:03.593593
43,137,2,NO,0.06,22,2025-11-17T07:27:03.593593
44,135,8,NO,0.58,9,2025-11-16T19:43:03.593593
45,148,10,YES,0.29,19,2025-11-19T10:55:03.593593
46,65,10,YES,0.31,21,2025-11-17T19:54:03.593593
47,84,1,YES,0.48,12,2025-11-17T22:06:03.593593
48,158,3,NO,0.52,23,2025-11-19T00:28:03.593593
49,74,9,YES,0.87,13,2025-11-18T03:42:03.593593
50,176,4,YES,0.15,9,2025-11-19T04:59:03.593593
51,32,10,NO,0.37,15,2025-11-18T10:38:03.593593
52,205,3,NO,0.55,7,2025-11-17T22:05:03.593593
53,82,9,YES,0.44,24,2025-11-18T18:36:03.593593
54,267,5,YES,0.95,22,2025-11-19T08:06:03.593593
55,127,3,YES,0.34,6,2025-11-17T15:10:03.593593
56,161,5,NO,0.86,22,2025-11-17T23:10:03.593593
57,118,1,YES,0.27,3,2025-11-17T13:36:03.593593
58,60,10,YES,0.48,9,2025-11-18T14:52:03.593593
59,29,3,YES,0.6,18,2025-11-19T05:42:03.593593
60,173,10,YES,0.91,9,2025-11-19T01:07:03.593593
61,148,4,NO,0.82,1,2025-11-18T13:16:03.593593
